profile_age_days,applications_7d,applications_30d,avg_applications_30d,app_to_avg_ratio,skills_count,endorsements_count,experience_years,skills_to_exp_ratio,institution_risk_score,company_risk_score,gpa_anomaly_score,tenure_gap_months,avg_tenure_months,time_since_last_app_hrs,is_new_device,ip_risk_score,email_risk_score,login_velocity_24h,failed_logins_24h,copy_paste_ratio,feature_noise_1,feature_noise_2,feature_noise_3,feature_noise_4
265,4,13,15.8016,0.0274,23,38,11.8,1.82,0.3934,0.2482,0.038,2.1,23.6,23.31,0,0.2475,0.0897,0,0,0.0591,-0.7083,0.3075,14.0,0.3953
3242,1,6,3.3164,0.0597,13,27,2.1,4.298,0.0945,0.0691,0.1883,1.4,21.4,466.34,0,0.2312,0.5032,0,1,0.0388,-2.8036,-0.3035,44.0,0.4923
3523,5,9,2.1977,0.1345,80,0,40.0,1.951,0.5018,0.1173,0.3231,1.3,7.9,84.66,1,0.1471,0.3892,0,0,0.1786,0.8237,0.5549,27.0,0.2199
3290,5,23,1.5208,0.4933,13,26,8.3,1.446,0.1829,0.4714,0.0103,2.3,13.5,49.9,0,0.2473,0.0285,1,1,0.2667,1.268,-0.924,64.0,0.032
153,5,20,2.4279,0.2709,6,30,0.6,4.413,0.0772,0.0542,0.1162,3.8,8.6,53.58,0,0.3104,0.0806,1,0,0.1135,1.2083,0.4607,49.0,0.5661
703,1,6,7.6741,0.0259,12,28,2.8,3.341,0.0583,0.0687,0.1153,0.8,22.5,135.51,0,0.2172,0.089,2,0,0.2892,0.3252,-0.7492,35.0,0.7398
2354,3,6,3.7429,0.053,17,39,4.2,3.423,0.2664,0.1244,0.1529,3.9,83.6,12.28,0,0.7088,0.2533,0,0,0.4016,0.831,0.7396,46.0,0.9807
1289,6,22,0.8857,0.798,17,46,3.1,4.34,0.4294,0.4826,0.1966,0.3,21.9,39.66,0,0.0178,0.2624,1,0,0.3493,-1.4864,-0.4147,14.0,0.4442
3434,3,6,0.8073,0.2379,14,27,4.5,2.734,0.1685,0.3899,0.2161,4.2,24.9,7.51,1,0.2301,0.1571,2,0,0.0988,-1.3621,-0.9582,69.0,0.7494
2930,1,1,1.6402,0.0199,16,54,6.5,2.158,0.2638,0.2943,0.0674,1.5,18.3,38.21,0,0.458,0.1383,1,0,0.2993,0.4691,0.4368,78.0,0.249
2151,1,15,2.5314,0.195,13,30,3.1,3.367,0.2598,0.3312,0.1089,1.0,18.7,20.31,0,0.0678,0.526,1,0,0.6017,0.3642,0.3231,50.0,0.2559
1285,1,6,0.9165,0.2106,44,18,16.3,2.549,0.0996,0.6543,0.1486,0.2,91.2,6.15,0,0.0758,0.1182,2,0,0.3116,1.3894,0.8339,25.0,0.215
1421,0,10,4.7703,0.0694,3,49,1.4,1.49,0.1927,0.3511,0.1453,3.7,16.1,19.31,0,0.0353,0.2723,1,0,0.3078,0.5254,0.1364,97.0,0.7128
2089,1,3,0.8261,0.1164,23,21,8.4,2.48,0.3507,0.2367,0.1342,3.5,33.3,6.55,0,0.1324,0.222,0,1,0.3529,-1.3313,-0.5899,83.0,0.421
1130,0,17,1.0777,0.5101,44,54,16.0,2.644,0.1279,0.0564,0.1806,0.2,24.1,14.44,0,0.4078,0.0835,4,0,0.3529,-1.7887,1.0406,75.0,0.3164
635,2,17,2.1967,0.2541,4,7,1.7,1.652,0.2261,0.2427,0.337,7.9,12.4,7.09,0,0.3595,0.1665,1,0,0.3381,-0.7414,0.7661,81.0,0.2997
1505,2,5,7.5287,0.022,18,17,7.3,2.255,0.1627,0.3018,0.2684,0.5,11.9,21.81,0,0.3576,0.0328,2,0,0.1786,-1.2723,0.9399,37.0,0.3717
1307,0,15,5.4994,0.0904,36,21,13.9,2.459,0.0594,0.0222,0.0957,10.2,22.6,2.72,0,0.3448,0.1161,0,0,0.6011,-0.6541,0.1132,20.0,0.2693
3178,5,14,2.8799,0.1602,21,57,5.5,3.322,0.0356,0.1477,0.209,2.4,29.3,3.7,0,0.079,0.3906,2,0,0.1907,-0.7961,-0.1306,84.0,0.3626
1693,2,21,1.2843,0.5312,32,50,14.1,2.12,0.0577,0.0466,0.1794,4.2,16.7,17.03,0,0.4686,0.018,1,2,0.3286,0.1139,-0.1087,52.0,0.7596
733,5,17,7.5612,0.0746,11,44,5.0,1.84,0.1121,0.2078,0.1876,1.0,42.2,73.09,0,0.1699,0.0625,2,0,0.3661,-2.5169,-0.8387,29.0,0.8386
1189,7,7,6.7884,0.0342,13,13,1.6,5.231,0.2205,0.5395,0.2422,3.2,4.2,18.97,0,0.0347,0.2326,0,1,0.1536,-1.2041,0.9737,57.0,0.6403
1647,0,3,1.7696,0.0555,22,5,8.7,2.32,0.0329,0.2437,0.1855,2.1,28.5,150.26,0,0.338,0.4088,4,0,0.8226,1.1776,0.2064,1.0,0.1581
773,0,1,13.6896,0.0024,13,2,2.2,4.236,0.2729,0.2436,0.1672,1.2,14.5,371.8,0,0.1941,0.1077,4,2,0.0473,0.8284,-0.8828,1.0,0.8799
2196,5,17,6.5332,0.0863,14,15,3.5,3.284,0.1906,0.1578,0.1753,0.3,20.8,40.25,1,0.3083,0.1334,1,0,0.2507,-0.4707,-1.5618,64.0,0.4001
1268,5,17,3.2032,0.1751,35,8,12.7,2.618,0.1817,0.2587,0.3957,3.3,16.8,23.87,0,0.0535,0.1472,1,0,0.1352,-0.2857,-0.3431,72.0,0.8645
2535,0,14,12.2209,0.0381,18,24,6.9,2.359,0.1801,0.1599,0.1451,3.5,49.3,152.49,0,0.6602,0.474,2,0,0.5633,-2.0556,-0.8985,20.0,0.3334
175,5,6,1.0089,0.1919,80,43,34.8,2.237,0.6347,0.231,0.0882,6.4,5.6,57.63,1,0.2193,0.3487,1,0,0.2287,0.2708,-1.1622,98.0,0.6473
1462,7,13,1.9312,0.2206,26,25,10.0,2.431,0.1901,0.1818,0.2758,0.3,22.6,11.37,0,0.1721,0.4295,0,0,0.054,1.0254,0.3762,1.0,0.4067
3543,0,13,5.5623,0.0774,16,35,5.6,2.509,0.0128,0.2813,0.4261,1.4,41.0,48.0,0,0.014,0.1067,1,0,0.1688,-0.4428,1.2809,51.0,0.0521
599,106,305,11.4724,0.8836,80,3,40.0,1.951,0.0578,0.0781,0.2897,4.7,12.8,0.2853,1,0.1134,0.0949,1,0,0.4726,-0.9029,-0.2183,22.0,0.6639
2109,1,1,2.3803,0.0138,10,29,1.3,4.591,0.0206,0.4677,0.5032,1.0,19.9,87.84,1,0.0343,0.1114,0,0,0.1466,0.5961,0.8954,13.0,0.9098
1873,5,11,2.3301,0.1551,54,18,20.6,2.542,0.1299,0.2465,0.3044,3.9,22.9,32.49,1,0.483,0.2793,1,1,0.2161,0.0766,-0.3037,24.0,0.8791
2165,0,2,2.4053,0.0273,14,10,2.2,4.44,0.2563,0.3565,0.1038,1.6,42.1,0.65,0,0.5581,0.2111,1,0,0.201,0.2116,-2.1988,14.0,0.6815
3218,4,9,11.8482,0.0252,15,50,2.2,4.79,0.1747,0.1621,0.1067,0.1,20.2,42.5,0,0.1194,0.4795,0,0,0.2793,-0.6925,-0.4088,49.0,0.3271
2710,2,4,2.7441,0.048,12,15,3.5,2.677,0.2338,0.0294,0.1145,0.4,24.0,34.77,0,0.0636,0.4635,1,0,0.0696,1.1537,0.4553,74.0,0.6775
3639,3,4,0.5757,0.2189,15,19,4.7,2.745,0.0174,0.2745,0.0556,2.2,11.6,1.6,0,0.0182,0.081,2,1,0.2975,0.3147,0.2216,63.0,0.9989
13,6,23,3.821,0.1989,16,19,4.1,43.13,0.2681,0.3198,0.0009,1.0,11.2,12.33,0,0.1149,0.0367,0,1,0.831,0.6804,-1.1506,8.0,0.66
3106,7,11,3.1474,0.1153,3,0,2.3,1.192,0.044,0.2908,0.4869,0.7,16.8,12.09,0,0.6504,0.2153,5,0,0.3449,1.793,-0.3162,23.0,0.883
1274,3,20,1.6116,0.4053,8,5,1.7,3.092,0.2073,0.442,0.0671,4.2,10.1,1.73,0,0.1684,0.4989,2,0,0.2164,1.4405,0.3301,69.0,0.8711
1556,2,13,1.2577,0.3356,3,38,1.3,1.456,0.184,0.0874,0.4158,0.6,28.6,23.73,0,0.1781,0.0618,4,0,0.4036,0.487,-1.0039,29.0,0.2231
1145,2,14,0.9477,0.4757,48,13,18.6,2.5,0.0997,0.2076,0.3163,1.7,31.5,47.67,0,0.0508,0.2218,0,0,0.2143,-0.1188,0.2627,2.0,0.5952
877,7,13,4.8943,0.0879,18,22,6.2,2.589,0.2487,0.2654,0.0326,5.1,21.5,107.71,0,0.3729,0.2814,0,0,0.6288,-0.0381,0.085,61.0,0.3629
3043,7,9,7.9124,0.0378,5,44,1.8,1.859,0.227,0.6562,0.2497,6.4,32.7,15.73,0,0.6526,0.0508,1,0,0.6515,0.1096,-0.6677,19.0,0.0271
2372,2,7,2.1484,0.1069,25,37,9.4,2.451,0.076,0.1599,0.2812,1.2,16.2,28.96,0,0.4202,0.5086,4,0,0.3612,0.8439,-1.1941,54.0,0.1046
704,3,21,4.644,0.1497,3,2,1.2,1.6,0.1158,0.2254,0.2837,2.6,2.5,66.32,0,0.1824,0.2131,1,1,0.403,0.5583,0.4294,73.0,0.3413
1665,4,12,11.7441,0.034,5,42,2.2,1.696,0.0968,0.1347,0.2988,0.5,33.6,101.23,0,0.3917,0.4437,2,0,0.0583,-0.7241,0.2132,5.0,0.4864
1576,1,18,6.6094,0.0903,15,26,3.6,3.311,0.3342,0.2194,0.0984,3.1,19.5,7.75,0,0.0255,0.0781,1,0,0.0435,0.2711,1.3129,12.0,0.4004
1398,1,2,1.6071,0.0406,35,52,15.6,2.131,0.2777,0.1479,0.094,4.5,12.4,31.71,0,0.52,0.4921,1,0,0.186,-0.8465,-0.652,86.0,0.9412
1737,3,16,5.8593,0.0905,19,32,4.5,3.523,0.5289,0.102,0.1954,2.8,19.2,1.51,1,0.0733,0.1119,1,0,0.2755,0.137,-0.5287,43.0,0.5701
93,2,6,2.729,0.0724,20,39,7.8,2.28,0.1486,0.0478,0.1365,1.9,7.0,35.62,0,0.399,0.2381,2,0,0.052,0.5337,-0.4695,69.0,0.7255
1294,2,21,3.8374,0.1808,43,40,16.0,2.574,0.1345,0.3617,0.3024,0.7,60.6,128.07,1,0.2622,0.2464,0,0,0.1605,-0.8048,-0.3456,45.0,0.0868
231,7,7,0.8114,0.2762,33,17,16.5,1.89,0.5631,0.2407,0.1282,7.8,34.1,200.28,0,0.2762,0.2112,0,1,0.2604,-0.6275,0.5387,19.0,0.8773
2626,3,7,3.1435,0.0734,9,45,3.4,2.279,0.22,0.18,0.2612,4.0,4.0,4.16,1,0.3275,0.26,0,0,0.3487,0.4645,0.3739,52.0,0.9168
3290,1,1,8.3813,0.004,7,3,3.1,1.91,0.2005,0.2263,0.0128,0.0,27.9,9.97,0,0.162,0.0621,3,0,0.2284,1.4289,0.3379,54.0,0.1245
2303,6,22,3.5112,0.2069,11,51,4.7,2.084,0.067,0.0755,0.2409,0.1,7.8,6.21,0,0.266,0.09,1,0,0.308,0.5032,-0.1992,47.0,0.572
2905,6,9,14.7295,0.0203,15,30,6.4,2.118,0.3905,0.0975,0.2802,1.9,26.6,3.58,0,0.2443,0.2029,0,0,0.1513,0.4421,0.3637,78.0,0.9322
2030,6,16,1.9571,0.2679,45,1,12.8,3.313,0.0919,0.4791,0.3074,0.0,32.2,7.66,0,0.1739,0.3224,0,0,0.0527,0.7319,0.588,15.0,0.11
926,6,17,4.3025,0.1307,6,37,2.3,1.868,0.3927,0.1237,0.4189,6.0,24.1,29.0,0,0.0746,0.2538,2,0,0.2738,0.1476,-0.9891,6.0,0.8672
679,4,16,0.748,0.6826,10,57,1.7,3.934,0.4112,0.2106,0.271,1.3,18.4,15.75,0,0.1454,0.3498,0,0,0.2537,0.5979,0.2269,9.0,0.4292
391,0,10,5.3255,0.0622,12,21,4.2,2.42,0.012,0.3339,0.0729,0.8,27.7,2.82,1,0.2712,0.1556,2,0,0.4736,-0.8998,0.637,6.0,0.5712
441,1,15,6.343,0.0784,23,59,9.7,2.205,0.0225,0.0123,0.1794,1.0,28.1,27.37,1,0.3375,0.5208,3,0,0.2682,-1.6602,-1.3647,81.0,0.0992
1655,1,12,2.3583,0.1672,9,28,4.6,1.795,0.1018,0.1457,0.0914,3.6,15.6,174.78,0,0.1528,0.0563,0,0,0.4159,1.3504,-1.9735,30.0,0.5479
2598,4,23,4.6673,0.1631,19,34,5.9,2.806,0.197,0.2589,0.1074,3.6,21.7,317.58,0,0.0242,0.1808,0,1,0.2481,-0.9908,-1.2465,12.0,0.0192
2039,6,18,2.6555,0.2231,11,2,3.2,2.629,0.0878,0.2451,0.1058,2.8,13.0,9.04,0,0.2282,0.088,2,0,0.1789,0.3758,-0.5176,88.0,0.763
937,3,21,2.3173,0.2978,23,57,8.2,2.579,0.0261,0.1,0.1393,2.2,34.8,46.87,0,0.084,0.0445,3,1,0.2416,-0.1496,-1.3634,45.0,0.0419
1978,4,4,4.7685,0.0278,29,18,9.0,2.985,0.0717,0.0893,0.1267,0.2,23.5,6.11,0,0.2862,0.0293,2,0,0.2606,0.3305,1.817,95.0,0.0264
690,4,18,10.7597,0.0556,16,25,4.7,2.833,0.1398,0.1378,0.5013,8.0,14.1,519.54,0,0.1884,0.1602,2,0,0.076,-1.9268,-0.907,89.0,0.3354
671,7,20,7.5439,0.088,40,3,13.9,2.714,0.353,0.1039,0.1384,1.2,17.7,2.05,0,0.0611,0.4826,0,0,0.3614,0.4218,-0.0914,11.0,0.1516
1022,4,20,4.5251,0.1462,58,39,17.6,3.156,0.205,0.2328,0.1543,0.4,20.1,13.65,0,0.2879,0.0579,0,0,0.2626,-0.9299,-0.0648,47.0,0.236
1328,3,5,1.826,0.0896,8,46,3.0,1.999,0.3423,0.0431,0.4288,5.5,8.1,11.38,0,0.3352,0.0249,2,0,0.2737,-0.7916,0.7541,95.0,0.027
3501,4,6,3.0394,0.0651,10,41,4.5,1.885,0.1181,0.0251,0.1924,3.8,33.7,29.27,1,0.1865,0.445,1,0,0.1849,2.3057,-0.4451,42.0,0.2404
447,0,0,2.4677,0.0,13,12,6.7,1.8,0.8898,0.4395,0.8566,9.2895,72.7,115.48,0,0.6611,0.2525,1,0,0.2351,-0.9585,0.2396,26.0,0.8584
766,147,388,5.0418,2.5484,10,8,2.5,3.112,0.1631,0.1579,0.2362,3.7,8.7,0.2862,1,0.1538,0.423,4,0,0.2323,2.7385,0.431,29.0,0.2594
1953,2,5,12.1173,0.0137,17,52,6.2,2.443,0.0753,0.0735,0.0179,4.8,34.0,90.13,0,0.0916,0.0762,1,0,0.1973,-0.3297,0.4271,72.0,0.5869
2515,7,24,4.7461,0.1674,3,37,1.2,1.824,0.1379,0.0536,0.311,0.3,26.6,170.23,0,0.4375,0.1663,4,0,0.2174,-0.8959,-0.7451,26.0,0.6919
1126,2,13,6.6695,0.0646,38,56,20.4,1.813,0.1628,0.0023,0.5096,2.2,3.2,6.43,0,0.4326,0.5827,1,0,0.0764,1.3728,-1.4411,81.0,0.246
2686,3,22,2.9326,0.2473,25,47,10.0,2.296,0.0999,0.1817,0.132,1.2,26.8,129.68,0,0.576,0.0965,3,0,0.1577,-0.5845,0.7137,84.0,0.8086
3380,2,4,2.5047,0.0525,16,10,8.0,1.83,0.1962,0.1215,0.2001,0.3,6.2,2.49,0,0.1108,0.1898,1,0,0.184,2.0719,-0.1937,91.0,0.3661
3286,0,15,6.8538,0.0726,23,44,5.5,3.675,0.1119,0.3254,0.1109,13.8,28.7,14.29,0,0.2587,0.3316,3,0,0.375,1.0361,1.0547,52.0,0.5238
949,0,16,3.7578,0.1407,8,17,0.9,4.556,0.0888,0.1312,0.066,1.4,18.6,157.98,0,0.3427,0.424,1,0,0.1887,0.4185,-1.6015,16.0,0.9861
3312,3,18,2.7469,0.2158,8,49,3.6,1.836,0.1135,0.2052,0.0571,0.6,16.1,64.12,0,0.5502,0.2103,0,0,0.3533,1.4193,-0.2195,2.0,0.4146
1475,5,6,0.7064,0.2704,27,8,10.2,2.502,0.0715,0.118,0.6236,2.9,120.0,4.91,0,0.259,0.0674,1,1,0.1797,0.3093,0.4218,97.0,0.4427
1724,7,9,13.9502,0.0215,38,21,12.5,2.874,0.114,0.3871,0.3413,0.3,37.1,81.32,0,0.1819,0.3349,1,0,0.0883,-0.3587,-2.5165,81.0,0.6796
2115,1,13,4.686,0.0918,20,23,4.8,3.531,0.6353,0.0871,0.1112,2.0,25.0,210.36,0,0.024,0.4641,2,1,0.2145,0.4145,-1.2453,77.0,0.2808
394,7,15,1.83,0.2683,22,23,9.4,2.182,0.1682,0.5532,0.0888,7.7,16.8,21.82,0,0.0548,0.2478,2,1,0.0563,-0.8076,-0.574,8.0,0.5188
3336,0,10,1.2008,0.2701,8,34,4.1,1.65,0.387,0.2351,0.1565,3.8,36.1,8.2,0,0.119,0.6877,3,0,0.3434,1.2872,0.5694,38.0,0.9729
2215,7,7,4.753,0.0487,17,11,3.2,4.17,0.0809,0.169,0.0784,5.2,23.4,102.41,1,0.0979,0.3332,1,0,0.078,-0.246,0.1607,42.0,0.8483
2349,5,5,2.3219,0.0708,32,43,8.9,3.31,0.2197,0.4365,0.4078,2.9,14.4,31.48,0,0.4807,0.0635,0,1,0.1908,0.6049,-0.3278,60.0,0.9833
1055,7,20,2.2944,0.2864,54,42,22.1,2.364,0.5924,0.0393,0.1165,3.3,9.7,76.91,0,0.0268,0.1716,1,0,0.0659,0.3075,-0.3852,86.0,0.2013
3461,7,26,2.4627,0.3472,8,59,1.8,3.005,0.3533,0.2461,0.4678,0.7,39.6,289.66,0,0.2369,0.2522,1,1,0.2949,1.3708,-0.3662,52.0,0.8836
1057,2,19,3.2752,0.1914,8,17,3.9,1.773,0.0597,0.1192,0.2661,0.7,13.4,165.9,0,0.1014,0.17,1,0,0.3713,-0.083,0.8087,77.0,0.0782
846,1,7,3.7877,0.0611,22,59,12.1,1.724,0.0351,0.0412,0.3743,3.1,9.7,48.82,0,0.1516,0.0558,1,1,0.2384,0.2441,0.0693,82.0,0.4897
2043,4,18,4.4948,0.1325,8,16,0.6,5.192,0.3225,0.4123,0.2414,1.7,43.9,17.47,1,0.1387,0.2853,1,1,0.3379,-0.5587,0.164,8.0,0.0005
1976,0,9,1.5074,0.1947,6,7,3.4,1.383,0.357,0.2424,0.2525,4.9,30.9,118.32,0,0.3061,0.2114,4,1,0.1844,0.0158,-0.0276,50.0,0.2889
1418,5,11,3.3489,0.1084,30,32,10.7,2.633,0.2562,0.2037,0.4008,4.6,10.1,30.86,0,0.4743,0.3304,0,1,0.0821,-0.4331,-0.6086,26.0,0.8879
1774,6,20,1.9112,0.3428,4,7,2.2,1.546,0.2216,0.2402,0.2912,0.5,61.7,27.07,1,0.2242,0.2089,2,0,0.2754,1.5647,0.9062,98.0,0.0259
2476,7,15,3.8776,0.1278,35,36,11.5,2.81,0.1227,0.216,0.0548,2.1,117.6,17.27,0,0.2142,0.2883,2,0,0.3658,0.1836,1.1458,0.0,0.2602
1271,0,18,1.6013,0.367,11,5,4.1,2.233,0.2248,0.0201,0.196,0.8,28.8,3.72,0,0.0486,0.2825,0,0,0.435,-1.8344,-0.7878,83.0,0.3745
1697,4,4,23.9354,0.0056,28,22,10.1,2.571,0.0405,0.0727,0.0959,5.6,25.4,43.59,0,0.0298,0.2074,3,0,0.2805,-0.2649,0.9886,7.0,0.6635
894,7,24,2.2517,0.3501,6,32,0.9,3.537,0.1134,0.0561,0.0882,1.5,27.6,20.19,0,0.089,0.4607,0,1,0.0144,1.0465,-0.293,12.0,0.1362
2686,3,4,3.429,0.0385,42,44,12.1,3.23,0.2082,0.1228,0.452,0.6,68.6,2.15,0,0.35,0.2283,0,0,0.3127,0.1309,1.3067,79.0,0.0136
289,1,2,1.7329,0.0377,22,36,10.6,1.953,0.1782,0.2485,0.1681,5.5,11.3,51.73,0,0.2749,0.2478,0,1,0.4253,-0.3379,1.3627,26.0,0.8447
663,0,19,3.1598,0.1983,6,19,2.0,2.192,0.0377,0.2998,0.2532,0.1,19.7,9.43,0,0.2645,0.1803,4,1,0.1269,-1.2395,1.1526,64.0,0.3504
3086,0,18,6.0632,0.0984,29,48,7.2,3.653,0.0007,0.1062,0.1323,3.9,14.6,89.57,1,0.0761,0.1813,2,0,0.4194,0.0192,-1.8563,83.0,0.5765
3316,4,17,2.2314,0.2502,8,40,3.7,1.915,0.3951,0.223,0.192,4.1,38.4,6.15,0,0.2769,0.0267,3,0,0.4449,-0.6039,-2.4991,66.0,0.7458
1621,7,10,16.9404,0.0196,15,43,5.1,2.621,0.3413,0.1267,0.1677,0.3,12.8,10.24,0,0.3069,0.2751,2,0,0.123,-0.9466,0.5478,38.0,0.6217
1422,0,18,8.2078,0.0728,27,6,12.5,2.031,0.3159,0.5538,0.1513,0.0,19.0,106.73,0,0.101,0.061,2,0,0.016,-0.1099,-1.0942,63.0,0.8415
749,6,7,1.7889,0.128,9,58,2.1,3.094,0.1048,0.1806,0.7826,0.1,21.0,85.27,0,0.0493,0.2071,0,1,0.1315,1.5813,-1.0643,35.0,0.9485
1638,1,13,2.7117,0.1579,50,50,19.2,2.482,0.3466,0.4233,0.161,4.2,51.2,2.43,0,0.0671,0.1307,2,0,0.4999,0.2429,-0.7124,97.0,0.7126
3601,0,12,13.567,0.0294,6,33,0.9,3.399,0.2164,0.2901,0.2464,4.4,12.7,5.68,1,0.6102,0.0336,1,0,0.3811,-0.5211,-0.4187,41.0,0.2246
3043,5,19,6.2911,0.1001,24,11,9.6,2.341,0.1521,0.1075,0.0883,1.2,77.4,224.35,0,0.1377,0.238,1,0,0.2063,-0.8289,0.5754,28.0,0.3199
482,6,6,10.4019,0.0192,5,54,0.9,2.774,0.023,0.1643,0.3232,0.7,14.4,116.71,0,0.182,0.3717,4,0,0.2857,1.8185,0.119,91.0,0.897
2707,3,7,1.898,0.1208,10,39,6.1,1.46,0.1992,0.2398,0.0803,1.8,14.1,1.51,0,0.6454,0.2006,5,1,0.491,0.3953,-0.2668,17.0,0.0296
1035,1,15,6.9456,0.0716,21,34,7.6,2.541,0.1911,0.0379,0.0566,1.6,11.9,34.3,0,0.1174,0.142,1,0,0.3546,0.9688,-0.1457,81.0,0.7643
3307,3,6,2.6077,0.0757,15,12,3.8,3.144,0.3416,0.1003,0.3936,2.4,14.3,46.47,0,0.1004,0.0969,1,0,0.107,1.3845,-0.584,45.0,0.5297
630,0,4,3.0686,0.043,39,14,15.4,2.399,0.631,0.0062,0.0418,1.9,27.4,283.78,1,0.0956,0.1515,0,0,0.2733,0.1701,0.5122,80.0,0.2836
3530,0,0,4.7069,0.0,8,35,2.7,2.231,0.0692,0.0113,0.3667,0.0,58.1,14.67,0,0.2951,0.3662,3,0,0.1126,-1.3245,-1.3248,90.0,0.5561
2555,1,9,11.4464,0.0261,8,49,2.9,2.247,0.4185,0.2269,0.0148,5.8,30.5,25.3,0,0.1458,0.2867,2,0,0.4146,0.1224,-0.2022,63.0,0.5474
2510,6,11,1.9164,0.1881,21,45,11.7,1.714,0.2943,0.1765,0.1751,0.1,20.9,222.79,0,0.269,0.0182,0,1,0.148,0.9449,-0.5488,94.0,0.3886
308,7,8,0.4673,0.5326,10,53,4.4,1.991,0.3718,0.1996,0.247,0.1,5.0,91.83,0,0.2052,0.1998,2,0,0.2228,-0.5195,0.7142,19.0,0.5995
214,3,21,0.752,0.8914,6,2,3.4,1.502,0.0817,0.0244,0.4621,0.2,12.5,24.03,1,0.1587,0.3678,2,0,0.2523,0.3111,-0.5626,27.0,0.709
1790,3,19,5.3174,0.1184,12,45,3.6,2.624,0.1742,0.0777,0.0604,4.3,23.6,236.18,0,0.0446,0.3716,3,0,0.2135,-1.7898,0.3838,5.0,0.502
2808,1,13,6.5251,0.0661,31,46,8.3,3.396,0.0583,0.2891,0.0433,3.0,26.5,5.81,0,0.1965,0.0739,1,0,0.393,-2.3973,0.7634,79.0,0.2789
677,3,6,4.7433,0.0419,5,31,1.1,2.466,0.2887,0.0216,0.2285,3.0,9.2,23.78,0,0.1777,0.4179,1,0,0.1115,0.3169,-1.1357,17.0,0.7997
2596,4,22,0.3395,1.9669,11,59,2.5,3.264,0.0694,0.3063,0.0494,1.3,100.5,76.17,0,0.239,0.1132,0,1,0.2436,0.6027,-0.7911,78.0,0.8385
2269,0,6,6.0502,0.0329,14,38,6.9,1.836,0.279,0.1344,0.1121,4.1,72.9,35.52,0,0.1248,0.0759,1,0,0.4171,-0.3441,1.3298,99.0,0.0921
1703,6,19,2.1584,0.289,32,10,9.8,3.035,0.4686,0.0487,0.1444,4.6,42.0,178.13,0,0.18,0.3144,0,1,0.1482,1.1065,0.4802,56.0,0.176
878,2,11,2.3885,0.1514,22,47,7.5,2.641,0.1599,0.2745,0.0704,0.4,28.1,467.41,0,0.3577,0.0695,4,0,0.2267,-0.9206,0.3184,31.0,0.0177
